team_id,name,nationality,points,wins,podiums
mclaren,McLaren,British,1811,7,39
williams,Williams,British,84,0,1
renault,Renault,French,394,0,3
toro_rosso,Toro Rosso,Italian,118,0,2
ferrari,Ferrari,Italian,3141,19,102
red_bull,Red Bull,Austrian,3948,67,134
force_india,Force India,Indian,111,0,1
sauber,Sauber,Swiss,52,0,0
alfa,Alfa Romeo,Swiss,149,0,0
aston_martin,Aston Martin,British,506,0,9
mercedes,Mercedes,German,3972,53,144
haas,Haas F1 Team,American,231,0,0
racing_point,Racing Point,British,283,1,4
alphatauri,AlphaTauri,Italian,309,1,2
alpine,Alpine F1 Team,French,513,1,6
rb,RB F1 Team,Italian,46,0,0
